a0,b1,c2,d3,e4,f5,g6,h7,i8,j9
0,playerstatslist plevel statValue,,,,,-1,1,hacked_client,hacked_server
1,playerstatslist stats_version statValue,,,,,-1,1,hacked_client,hacked_server
2,playerstatslist rankxp statValue,,32768,-1,65536,,,boosting_lobby_client,boosting_lobby_server
3,playerstatslist KILLS statValue,,150,-1,300,,,boosting_lobby_client,boosting_lobby_server
4,playerstatslist DEATHS statValue,,,-1,,,,hacked_client,hacked_server
5,playerstatslist ASSISTS statValue,,150,-1,300,,,boosting_lobby_client,boosting_lobby_server
6,playerstatslist HEADSHOTS statValue,,100,-1,200,,,boosting_lobby_client,boosting_lobby_server
7,playerstatslist REVIVES statValue,,50,-1,100,,,boosting_lobby_client,boosting_lobby_server
8,playerstatslist TIME_PLAYED_ALLIES statValue,,,-1,,,,hacked_client,hacked_server
9,playerstatslist TIME_PLAYED_AXIS statValue,,,-1,,,,hacked_client,hacked_server
10,playerstatslist TIME_PLAYED_TEAM3 statValue,,,-1,,,,hacked_client,hacked_server
11,playerstatslist TIME_PLAYED_OTHER statValue,,,-1,,,,hacked_client,hacked_server
12,playerstatslist TIME_PLAYED_TOTAL statValue,,,-1,,,,hacked_client,hacked_server
13,playerstatslist WINS statValue,,,-1,,,,hacked_client,hacked_server
14,playerstatslist TIES statValue,,,-1,,,,hacked_client,hacked_server
15,playerstatslist HITS statValue,,2500,-1,,,,boosting_lobby_client,boosting_lobby_server
16,playerstatslist MISSES statValue,,2500,,,,,boosting_lobby_client,boosting_lobby_server
17,playerstatslist TOTAL_SHOTS statValue,,5000,-1,,,,boosting_lobby_client,boosting_lobby_server
18,playerstatslist CODPOINTS statValue,,,,65536,,,boosting_lobby_client,boosting_lobby_server
19,playerstatslist LIFETIME_EARNINGS statValue,,,-1,,,,hacked_client,hacked_server
20,playerstatslist LIFETIME_BUYIN statValue,,,-1,,,,hacked_client,hacked_server
21,playerstatslist CONTRACTS_PURCHASED statValue,,,-1,,,,hacked_client,hacked_server
22,playerstatslist CONTRACTS_COMPLETED statValue,,,-1,4,,,hacked_client,hacked_server
23,playerstatslist CONTRACTS_CP_SPENT statValue,,,-1,,,,hacked_client,hacked_server
24,playerstatslist CONTRACTS_CP_EARNED statValue,,,-1,,,,hacked_client,hacked_server
25,playerstatslist CONTRACTS_XP_EARNED statValue,,,-1,,,,hacked_client,hacked_server
26,playerstatslist RANK statValue,,15,,20,,,boosting_lobby_client,boosting_lobby_server
