a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
512,0,50,weapon_pistol,kills,CHALLENGE_WEAPON_KILLS,25,,,camo_contagious,,,,pistol_burst pistol_fullauto,,,,,,,,,,,
513,1,100,weapon_pistol,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_fear,,,,pistol_burst pistol_fullauto,,,,,,,,,,,
514,2,200,weapon_pistol,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_wmd,,,,pistol_burst pistol_fullauto,,,,,,,,,,,
515,3,400,weapon_pistol,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_redhex,,,,pistol_burst pistol_fullauto,,,,,,,,,,,
516,0,80,weapon_smg,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_contagious,,,,smg_burst smg_capacity smg_fastfire smg_standard smg_versatile,,,,,,,,,,,
517,1,250,weapon_smg,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_fear,,,,smg_burst smg_capacity smg_fastfire smg_standard smg_versatile,,,,,,,,,,,
518,2,500,weapon_smg,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_wmd,,,,smg_burst smg_capacity smg_fastfire smg_standard smg_versatile,,,,,,,,,,,
519,3,900,weapon_smg,kills,CHALLENGE_WEAPON_KILLS,200,,,camo_redhex,,,,smg_burst smg_capacity smg_fastfire smg_standard smg_versatile,,,,,,,,,,,
520,0,100,weapon_assault,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_contagious,,,,ar_accurate ar_cqb ar_damage ar_longburst ar_marksman ar_standard,,,,,,,,,,,
521,1,300,weapon_assault,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_fear,,,,ar_accurate ar_cqb ar_damage ar_longburst ar_marksman ar_standard,,,,,,,,,,,
522,2,600,weapon_assault,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_wmd,,,,ar_accurate ar_cqb ar_damage ar_longburst ar_marksman ar_standard,,,,,,,,,,,
523,3,1000,weapon_assault,kills,CHALLENGE_WEAPON_KILLS,200,,,camo_redhex,,,,ar_accurate ar_cqb ar_damage ar_longburst ar_marksman ar_standard,,,,,,,,,,,
524,0,100,weapon_lmg,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_contagious,,,,lmg_cqb lmg_heavy lmg_light lmg_slowfire,,,,,,,,,,,
525,1,300,weapon_lmg,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_fear,,,,lmg_cqb lmg_heavy lmg_light lmg_slowfire,,,,,,,,,,,
526,2,600,weapon_lmg,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_wmd,,,,lmg_cqb lmg_heavy lmg_light lmg_slowfire,,,,,,,,,,,
527,3,1000,weapon_lmg,kills,CHALLENGE_WEAPON_KILLS,200,,,camo_redhex,,,,lmg_cqb lmg_heavy lmg_light lmg_slowfire,,,,,,,,,,,
528,0,80,weapon_cqb,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_contagious,,,,shotgun_fullauto shotgun_precision shotgun_pump shotgun_semiauto,,,,,,,,,,,
529,1,250,weapon_cqb,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_fear,,,,shotgun_fullauto shotgun_precision shotgun_pump shotgun_semiauto,,,,,,,,,,,
530,2,500,weapon_cqb,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_wmd,,,,shotgun_fullauto shotgun_precision shotgun_pump shotgun_semiauto,,,,,,,,,,,
531,3,900,weapon_cqb,kills,CHALLENGE_WEAPON_KILLS,200,,,camo_redhex,,,,shotgun_fullauto shotgun_precision shotgun_pump shotgun_semiauto,,,,,,,,,,,
532,0,50,weapon_sniper,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_contagious,,,,sniper_fastbolt sniper_fastsemi sniper_powerbolt,,,,,,,,,,,
533,1,100,weapon_sniper,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_fear,,,,sniper_fastbolt sniper_fastsemi sniper_powerbolt,,,,,,,,,,,
534,2,200,weapon_sniper,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_wmd,,,,sniper_fastbolt sniper_fastsemi sniper_powerbolt,,,,,,,,,,,
535,3,400,weapon_sniper,kills,CHALLENGE_WEAPON_KILLS,200,,,camo_redhex,,,,sniper_fastbolt sniper_fastsemi sniper_powerbolt,,,,,,,,,,,
536,0,25,weapon_launcher,kills,CHALLENGE_WEAPON_KILLS,25,,,camo_contagious,,,,launcher_standard,,,,,,,,,,,
537,1,50,weapon_launcher,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_fear,,,,launcher_standard,,,,,,,,,,,
538,2,100,weapon_launcher,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_wmd,,,,launcher_standard,,,,,,,,,,,
539,3,200,weapon_launcher,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_redhex,,,,launcher_standard,,,,,,,,,,,
540,0,50,weapon_knife,kills,CHALLENGE_WEAPON_KILLS,25,,,camo_contagious,,,,bowie_knife,,,,,,,,,,,
541,1,100,weapon_knife,kills,CHALLENGE_WEAPON_KILLS,50,,,camo_fear,,,,bowie_knife,,,,,,,,,,,
542,2,200,weapon_knife,kills,CHALLENGE_WEAPON_KILLS,100,,,camo_wmd,,,,bowie_knife,,,,,,,,,,,
543,3,350,weapon_knife,kills,CHALLENGE_WEAPON_KILLS,150,,,camo_redhex,,,,bowie_knife,,,,,,,,,,,
544,0,500,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,25,,,reticle_14,,,,acog dualoptic ir reflex,,,,,,,,,,,
545,1,1500,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,50,,,reticle_15,,,,acog dualoptic ir reflex,,,,,,,,,,,
546,2,3000,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,100,,,reticle_16,,,,acog dualoptic ir reflex,,,,,,,,,,,
547,3,5000,attachment,kills,CHALLENGE_MILESTONE_OPTIC_CATEGORY_KILLS,150,,,reticle_17,,,,acog dualoptic ir reflex,,,,,,,,,,,
548,0,100,global,zombie_hunter_kill_headshot,ZM_CHALLENGES_ZOMBIE_HUNTER_KILL_HEADSHOT,500,,,,,,,,,,zombiehunter,,,,,,,,
