a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,p17
maxrank,944,,,,,,,,,,,,,,,,
0,,0,55600,,,,55600,,,,,,56,56,,,
1,,55600,55600,,,,111200,,,,,,57,57,,,
2,,111200,55600,,,,166800,,,,,,58,58,,,
3,,166800,55600,,,,222400,,,,,,59,59,,,
4,,222400,55600,,,,278000,,,,,,60,60,,,
5,,278000,55600,,,,333600,,,,,,61,61,,,
6,,333600,55600,,,,389200,,,,,,62,62,,,
7,,389200,55600,,,,444800,,,,,,63,63,,,
8,,444800,55600,,,,500400,,,,,,64,64,,,
9,,500400,55600,,,,556000,,,,,,65,65,,,
10,,556000,55600,,,,611600,,,,,,66,66,,,
11,,611600,55600,,,,667200,,,,,,67,67,,,
12,,667200,55600,,,,722800,,,,,,68,68,,,
13,,722800,55600,,,,778400,,,,,,69,69,,,
14,,778400,55600,,,,834000,,,,,,70,70,,,
15,,834000,55600,,,,889600,,,,,,71,71,,,
16,,889600,55600,,,,945200,,,,,,72,72,,,
17,,945200,55600,,,,1000800,,,,,,73,73,,,
18,,1000800,55600,,,,1056400,,,,,,74,74,,,
19,,1056400,55600,,,,1112000,,,,,,75,75,,,
20,,1112000,55600,,,,1167600,,,,,,76,76,,,
21,,1167600,55600,,,,1223200,,,,,,77,77,,,
22,,1223200,55600,,,,1278800,,,,,,78,78,,,
23,,1278800,55600,,,,1334400,,,,,,79,79,,,
24,,1334400,55600,,,,1390000,,,,,,80,80,,,
25,,1390000,55600,,,,1445600,,,,,,81,81,,,
26,,1445600,55600,,,,1501200,,,,,,82,82,,,
27,,1501200,55600,,,,1556800,,,,,,83,83,,,
28,,1556800,55600,,,,1612400,,,,,,84,84,,,
29,,1612400,55600,,,,1668000,,,,,,85,85,,,
30,,1668000,55600,,,,1723600,,,,,,86,86,,,
31,,1723600,55600,,,,1779200,,,,,,87,87,,,
32,,1779200,55600,,,,1834800,,,,,,88,88,,,
33,,1834800,55600,,,,1890400,,,,,,89,89,,,
34,,1890400,55600,,,,1946000,,,,,,90,90,,,
35,,1946000,55600,,,,2001600,,,,,,91,91,,,
36,,2001600,55600,,,,2057200,,,,,,92,92,,,
37,,2057200,55600,,,,2112800,,,,,,93,93,,,
38,,2112800,55600,,,,2168400,,,,,,94,94,,,
39,,2168400,55600,,,,2224000,,,,,,95,95,,,
40,,2224000,55600,,,,2279600,,,,,,96,96,,,
41,,2279600,55600,,,,2335200,,,,,,97,97,,,
42,,2335200,55600,,,,2390800,,,,,,98,98,,,
43,,2390800,55600,,,,2446400,,,,,,99,99,,,
44,,2446400,55600,,,,2502000,,,,,,100,100,,,
45,,2502000,55600,,,,2557600,,,,,,101,101,,,
46,,2557600,55600,,,,2613200,,,,,,102,102,,,
47,,2613200,55600,,,,2668800,,,,,,103,103,,,
48,,2668800,55600,,,,2724400,,,,,,104,104,,,
49,,2724400,55600,,,,2780000,,,,,,105,105,,,
50,,2780000,55600,,,,2835600,,,,,,106,106,,,
51,,2835600,55600,,,,2891200,,,,,,107,107,,,
52,,2891200,55600,,,,2946800,,,,,,108,108,,,
53,,2946800,55600,,,,3002400,,,,,,109,109,,,
54,,3002400,55600,,,,3058000,,,,,,110,110,,,
55,,3058000,55600,,,,3113600,,,,,,111,111,,,
56,,3113600,55600,,,,3169200,,,,,,112,112,,,
57,,3169200,55600,,,,3224800,,,,,,113,113,,,
58,,3224800,55600,,,,3280400,,,,,,114,114,,,
59,,3280400,55600,,,,3336000,,,,,,115,115,,,
