a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
maxprestige,11,,,,,,,,,,,,,,,
0,t7_icon_rank_mp_level_01,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
1,t7_icon_rank_mp_level_01,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
2,t7_icon_rank_mp_level_03,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
3,t7_icon_rank_mp_level_04,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
4,t7_icon_rank_mp_level_05,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
5,t7_icon_rank_mp_level_06,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
6,t7_icon_rank_mp_level_07,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
7,t7_icon_rank_mp_level_08,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
8,t7_icon_rank_mp_level_09,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
9,t7_icon_rank_mp_level_10,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
10,t7_icon_rank_mp_level_11,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
11,t7_icon_rank_mp_level_12,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
12,t7_icon_rank_mp_level_13,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
13,t7_icon_rank_mp_level_14,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
14,t7_icon_rank_mp_level_15,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
15,t7_icon_rank_mp_level_16,t7_icon_rank_mp_prestige_01,t7_icon_rank_mp_prestige_02,t7_icon_rank_mp_prestige_03,t7_icon_rank_mp_prestige_04,t7_icon_rank_mp_prestige_05,t7_icon_rank_mp_prestige_06,t7_icon_rank_mp_prestige_07,t7_icon_rank_mp_prestige_08,t7_icon_rank_mp_prestige_09,t7_icon_rank_mp_prestige_10,t7_icon_rank_mp_prestige_11,t7_icon_rank_mp_prestige_12,t7_icon_rank_mp_prestige_13,t7_icon_rank_mp_prestige_14,t7_icon_rank_mp_prestige_15
