a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,p17
maxrank,54,,,,,,,,,,,,,,,,
maxrankstarterpack,54,,,,,,,,,,,,,,,,
0,pfc1,0,4000,RANK_PFC,RANK_PFC_FULL,rank_pvc,4000,,,,,,1,1,,RANK_PFC_FULL,
1,pfc2,4000,4600,RANK_PFC,RANK_PFC_FULL2,rank_pvc,8600,,,,,,2,2,,RANK_PFC_FULL_N,token
2,pfc3,8600,5200,RANK_PFC,RANK_PFC_FULL3,rank_pvc,13800,,,,,,3,3,,RANK_PFC_FULL_N,token
3,lcpl1,13800,5800,RANK_LCPL,RANK_LCPL_FULL,rank_lcpl,19600,,,,,,4,4,,RANK_LCPL_FULL,token
4,lcpl2,19600,6400,RANK_LCPL,RANK_LCPL_FULL2,rank_lcpl,26000,,,,,,5,5,,RANK_LCPL_FULL_N,token
5,lcpl3,26000,7000,RANK_LCPL,RANK_LCPL_FULL3,rank_lcpl,33000,,,,,,6,6,,RANK_LCPL_FULL_N,token
6,cpl1,33000,7600,RANK_CPL,RANK_CPL_FULL,rank_cpl,40600,,,,,,7,7,,RANK_CPL_FULL,token
7,cpl2,40600,8200,RANK_CPL,RANK_CPL_FULL2,rank_cpl,48800,,,,,,8,8,,RANK_CPL_FULL_N,token
8,cpl3,48800,8800,RANK_CPL,RANK_CPL_FULL3,rank_cpl,57600,,,,,,9,9,,RANK_CPL_FULL_N,token
9,sgt1,57600,9600,RANK_SGT,RANK_SGT_FULL,rank_sgt,67200,,,,,,10,10,,RANK_SGT_FULL,token
10,sgt2,67200,10400,RANK_SGT,RANK_SGT_FULL2,rank_sgt,77600,,,,,,11,11,,RANK_SGT_FULL_N,token
11,sgt3,77600,11200,RANK_SGT,RANK_SGT_FULL3,rank_sgt,88800,,,,,,12,12,,RANK_SGT_FULL_N,token
12,ssgt1,88800,12000,RANK_SSGT,RANK_SSGT_FULL,rank_ssgt,100800,,,,,,13,13,,RANK_SSGT_FULL,token
13,ssgt2,100800,12800,RANK_SSGT,RANK_SSGT_FULL2,rank_ssgt,113600,,,,,,14,14,,RANK_SSGT_FULL_N,token
14,ssgt3,113600,13600,RANK_SSGT,RANK_SSGT_FULL3,rank_ssgt,127200,,,,,,15,15,,RANK_SSGT_FULL_N,token
