a0,b1,c2,d3,e4,g5,g6,h7,i8
0,0,t7_icon_rank_zm_prestige_11_disabled,0,0,MENU_PRESTIGE_MASTER,MENU_PRESTIGE_ICONS_ZMRANKS,,1
1,1,t7_icon_rank_zm_prestige_01,0,1,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
2,2,t7_icon_rank_zm_prestige_02,0,2,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
3,3,t7_icon_rank_zm_prestige_03,0,3,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
4,4,t7_icon_rank_zm_prestige_04,0,4,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
5,5,t7_icon_rank_zm_prestige_05,0,5,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
6,6,t7_icon_rank_zm_prestige_06,0,6,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
7,7,t7_icon_rank_zm_prestige_07,0,7,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
8,8,t7_icon_rank_zm_prestige_08,0,8,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
9,9,t7_icon_rank_zm_prestige_09,0,9,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
10,10,t7_icon_rank_zm_prestige_10,0,10,MPUI_PRESTIGE_N,MENU_PRESTIGE_ICONS_ZMRANKS,,0
11,11,t7_icon_rank_zm_prestige_11,0,11,MENU_PRESTIGE_MASTER,MENU_PRESTIGE_ICONS_ZMRANKS,,0
12,12,t7_icon_rank_zm_prestige_13,64,1,MENU_ZMPRESTIGE_CORRUPTED,MENU_EYES,,0
13,13,t7_icon_rank_zm_prestige_14,64,1,MENU_WATCHER,MENU_EYES,,0
14,14,t7_icon_rank_zm_prestige_15,64,1,MENU_ZMPRESTIGE_CTHULUBEAR,MENU_EYES,,0
15,15,t7_icon_rank_zm_prestige_16,64,1,MENU_ZMPRESTIGE_SUMMONINGKEY,MENU_EYES,,0
16,16,t7_icon_rank_zm_prestige_17,164,2,MENU_DOUBLE_POINTS,MENU_POWER_UPS,,0
17,17,t7_icon_rank_zm_prestige_18,164,2,MENU_FIRE_SALE,MENU_POWER_UPS,,0
18,18,t7_icon_rank_zm_prestige_19,164,2,MENU_INSTAKILL,MENU_POWER_UPS,,0
19,19,t7_icon_rank_zm_prestige_20,164,2,MENU_DEATH_MACHINE,MENU_POWER_UPS,,0
20,20,t7_icon_rank_zm_prestige_22,264,3,ZMUI_ZM_AAT_BLAST_FURNACE,MENU_ATTS,,0
21,21,t7_icon_rank_zm_prestige_23,264,3,ZMUI_ZM_AAT_DEAD_WIRE,MENU_ATTS,,0
22,22,t7_icon_rank_zm_prestige_24,264,3,ZMUI_ZM_AAT_FIRE_WORKS,MENU_ATTS,,0
23,23,t7_icon_rank_zm_prestige_25,264,3,ZMUI_ZM_AAT_THUNDER_WALL,MENU_ATTS,,0
24,24,t7_icon_rank_zm_prestige_26,264,3,ZMUI_ZM_AAT_TURNED,MENU_ATTS,,0
25,25,t7_icon_rank_zm_prestige_37,364,4,MENU_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
26,26,t7_icon_rank_zm_prestige_38,364,4,MENU_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
27,27,t7_icon_rank_zm_prestige_39,364,4,MENU_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
28,28,t7_icon_rank_zm_prestige_40,364,4,MENU_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
29,29,t7_icon_rank_zm_prestige_31,464,5,MENU_CHALK,MENU_ARTIFACTS,,0
30,30,t7_icon_rank_zm_prestige_21,464,5,MENU_CYMBAL_MONKEY,MENU_ARTIFACTS,,0
31,31,t7_icon_rank_zm_prestige_41,464,5,MENU_PLEASE_WAIT,MENU_ARTIFACTS,,0
32,32,t7_icon_rank_zm_prestige_46,464,5,ZMUI_MEGACHEW_VIAL_NOTCAPS,MENU_ARTIFACTS,,0
33,33,t7_icon_rank_zm_prestige_42,564,6,MENU_DEADSHOT_DAIQUIRI,MENU_PERKS,,0
34,34,t7_icon_rank_zm_prestige_43,564,6,MENU_MULE_KICK,MENU_PERKS,,0
35,35,t7_icon_rank_zm_prestige_44,564,6,MENU_WIDOWS_WINE,MENU_PERKS,,0
36,36,t7_icon_rank_zm_prestige_45,564,6,MENU_ELECTRIC_CHERRY,MENU_PERKS,,0
37,37,t7_icon_rank_zm_prestige_47,664,7,MENU_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
38,38,t7_icon_rank_zm_prestige_48,664,7,MENU_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
39,39,t7_icon_rank_zm_prestige_49,664,7,MENU_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
40,40,t7_icon_rank_zm_prestige_50,664,7,MENU_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
41,41,t7_icon_rank_zm_prestige_32,764,8,MPUI_RETICLE_DUALOPTIC_15,MENU_GLYPHS,,0
42,42,t7_icon_rank_zm_prestige_33,764,8,MPUI_RETICLE_DUALOPTIC_17,MENU_GLYPHS,,0
43,43,t7_icon_rank_zm_prestige_34,764,8,MPUI_RETICLE_ACOG_17,MENU_GLYPHS,,0
44,44,t7_icon_rank_zm_prestige_35,764,8,MPUI_RETICLE_REFLEX_17,MENU_GLYPHS,,0
45,45,t7_icon_rank_zm_prestige_36,764,8,MPUI_RETICLE_DUALOPTIC_16,MENU_GLYPHS,,0
46,46,t7_icon_rank_zm_prestige_52,864,9,MPUI_RETICLE_IR_16,MENU_PERKS,,0
47,47,t7_icon_rank_zm_prestige_53,864,9,MENU_SPEED_COLA,MENU_PERKS,,0
48,48,t7_icon_rank_zm_prestige_54,864,9,MENU_DOUBLETAP,MENU_PERKS,,0
49,49,t7_icon_rank_zm_prestige_55,864,9,MENU_QUICK_REVIVE,MENU_PERKS,,0
50,50,t7_icon_rank_zm_prestige_56,864,9,MENU_STAMINUP,MENU_PERKS,,0
51,51,t7_icon_rank_zm_prestige_57,964,10,MENU_ULTRA_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
52,52,t7_icon_rank_zm_prestige_58,964,10,MENU_ULTRA_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
53,53,t7_icon_rank_zm_prestige_59,964,10,MENU_ULTRA_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
54,54,t7_icon_rank_zm_prestige_60,964,10,MENU_ULTRA_RARE_MEGA,MENU_STORE_BUBBLEGUM_BUFFS,,0
55,55,t7_icon_rank_zm_prestige_61,964,10,MENU_TEDDY,MENU_RELICS,,0
