a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,p17
maxrank,34,,,,,,,,,,,,,,,,
0,zm_rank_1,0,3300,RANK_ZM_FULL_1,RANK_ZM_FULL_1,rank_pvc,3300,,,,,,1,1,,RANK_PFC_FULL,
1,zm_rank_2,3300,10444,RANK_ZM_FULL_2,RANK_ZM_FULL_2,rank_pvc,13743,,,,,,2,2,,RANK_PFC_FULL_N,
2,zm_rank_3,13743,15516,RANK_ZM_FULL_3,RANK_ZM_FULL_3,rank_pvc,29260,,,,,,3,3,,RANK_PFC_FULL_N,
3,zm_rank_4,29260,19449,RANK_ZM_FULL_4,RANK_ZM_FULL_4,rank_lcpl,48709,,,,,,4,4,,RANK_LCPL_FULL,
4,zm_rank_5,48709,22663,RANK_ZM_FULL_5,RANK_ZM_FULL_5,rank_lcpl,71372,,,,,,5,5,,RANK_LCPL_FULL_N,
5,zm_rank_6,71372,25380,RANK_ZM_FULL_6,RANK_ZM_FULL_6,rank_lcpl,96752,,,,,,6,6,,RANK_LCPL_FULL_N,
6,zm_rank_7,96752,27734,RANK_ZM_FULL_7,RANK_ZM_FULL_7,rank_cpl,124486,,,,,,7,7,,RANK_CPL_FULL,
7,zm_rank_8,124486,29810,RANK_ZM_FULL_8,RANK_ZM_FULL_8,rank_cpl,154295,,,,,,8,8,,RANK_CPL_FULL_N,
8,zm_rank_9,154295,31667,RANK_ZM_FULL_9,RANK_ZM_FULL_9,rank_cpl,185962,,,,,,9,9,,RANK_CPL_FULL_N,
9,zm_rank_10,185962,33347,RANK_ZM_FULL_10,RANK_ZM_FULL_10,rank_sgt,219308,,,,,,10,10,,RANK_SGT_FULL,
10,zm_rank_11,219308,34880,RANK_ZM_FULL_11,RANK_ZM_FULL_11,rank_sgt,254189,,,,,,11,11,,RANK_SGT_FULL_N,
11,zm_rank_12,254189,36291,RANK_ZM_FULL_12,RANK_ZM_FULL_12,rank_sgt,290480,,,,,,12,12,,RANK_SGT_FULL_N,
12,zm_rank_13,290480,37597,RANK_ZM_FULL_13,RANK_ZM_FULL_13,rank_ssgt,328077,,,,,,13,13,,RANK_SSGT_FULL,
13,zm_rank_14,328077,38813,RANK_ZM_FULL_14,RANK_ZM_FULL_14,rank_ssgt,366890,,,,,,14,14,,RANK_SSGT_FULL_N,
14,zm_rank_15,366890,39951,RANK_ZM_FULL_15,RANK_ZM_FULL_15,rank_ssgt,406841,,,,,,15,15,,RANK_SSGT_FULL_N,
15,zm_rank_16,406841,41019,RANK_ZM_FULL_16,RANK_ZM_FULL_16,rank_gysgt,447861,,,,,,16,16,,RANK_GYSGT_FULL,
16,zm_rank_17,447861,42027,RANK_ZM_FULL_17,RANK_ZM_FULL_17,rank_gysgt,489888,,,,,,17,17,,RANK_GYSGT_FULL_N,
17,zm_rank_18,489888,42980,RANK_ZM_FULL_18,RANK_ZM_FULL_18,rank_gysgt,532868,,,,,,18,18,,RANK_GYSGT_FULL_N,
18,zm_rank_19,532868,43884,RANK_ZM_FULL_19,RANK_ZM_FULL_19,rank_msgt,576752,,,,,,19,19,,RANK_MSGT_FULL,
19,zm_rank_20,576752,44744,RANK_ZM_FULL_20,RANK_ZM_FULL_20,rank_msgt,621496,,,,,,20,20,,RANK_MSGT_FULL_N,
20,zm_rank_21,621496,45564,RANK_ZM_FULL_21,RANK_ZM_FULL_21,rank_msgt,667060,,,,,,21,21,,RANK_MSGT_FULL_N,
21,zm_rank_22,667060,46347,RANK_ZM_FULL_22,RANK_ZM_FULL_22,rank_mgysgt,713407,,,,,,22,22,,RANK_MGYSGT_FULL,
22,zm_rank_23,713407,47098,RANK_ZM_FULL_23,RANK_ZM_FULL_23,rank_mgysgt,760505,,,,,,23,23,,RANK_MGYSGT_FULL_N,
23,zm_rank_24,760505,47817,RANK_ZM_FULL_24,RANK_ZM_FULL_24,rank_mgysgt,808322,,,,,,24,24,,RANK_MGYSGT_FULL_N,
24,zm_rank_25,808322,48508,RANK_ZM_FULL_25,RANK_ZM_FULL_25,rank_2ndlt,856831,,,,,,25,25,,RANK_2NDLT_FULL,
25,zm_rank_26,856831,49174,RANK_ZM_FULL_26,RANK_ZM_FULL_26,rank_2ndlt,906004,,,,,,26,26,,RANK_2NDLT_FULL_N,
26,zm_rank_27,906004,49815,RANK_ZM_FULL_27,RANK_ZM_FULL_27,rank_2ndlt,955819,,,,,,27,27,,RANK_2NDLT_FULL_N,
27,zm_rank_28,955819,50433,RANK_ZM_FULL_28,RANK_ZM_FULL_28,rank_lt,1006252,,,,,,28,28,,RANK_LT_FULL,
28,zm_rank_29,1006252,51031,RANK_ZM_FULL_29,RANK_ZM_FULL_29,rank_lt,1057283,,,,,,29,29,,RANK_LT_FULL_N,
29,zm_rank_30,1057283,51609,RANK_ZM_FULL_30,RANK_ZM_FULL_30,rank_lt,1108892,,,,,,30,30,,RANK_TLT_FULL_N,
30,zm_rank_31,1108892,52168,RANK_ZM_FULL_31,RANK_ZM_FULL_31,rank_cpt,1161060,,,,,,31,31,,RANK_CPT_FULL,
31,zm_rank_32,1161060,52711,RANK_ZM_FULL_32,RANK_ZM_FULL_32,rank_cpt,1213771,,,,,,32,32,,RANK_CPT_FULL_N,
32,zm_rank_33,1213771,53237,RANK_ZM_FULL_33,RANK_ZM_FULL_33,rank_cpt,1267008,,,,,,33,33,,RANK_CPT_FULL_N,
