a0,b1,c2,d3,e4,f5
0,300,pistol_standard,reflex,100,
1,1200,pistol_standard,quickdraw,200,
2,2700,pistol_standard,suppressed,300,
3,4800,pistol_standard,reddot,400,
4,7500,pistol_standard,steadyaim,500,
5,10500,pistol_standard,damage,600,
6,13800,pistol_standard,fmj,700,
7,17400,pistol_standard,fastreload,800,
8,21100,pistol_standard,extclip,900,
9,24900,pistol_standard,extbarrel,1000,
10,28800,pistol_standard,dw,1100,
0,300,pistol_burst,reflex,100,
1,1200,pistol_burst,quickdraw,200,
2,2700,pistol_burst,suppressed,300,
3,4800,pistol_burst,reddot,400,
4,7500,pistol_burst,steadyaim,500,
5,10500,pistol_burst,damage,600,
6,13800,pistol_burst,fmj,700,
7,17400,pistol_burst,fastreload,800,
8,21100,pistol_burst,extclip,900,
9,24900,pistol_burst,extbarrel,1000,
10,28800,pistol_burst,dw,1100,
0,300,pistol_fullauto,reflex,100,
1,1200,pistol_fullauto,quickdraw,200,
2,2700,pistol_fullauto,suppressed,300,
3,4800,pistol_fullauto,reddot,400,
4,7500,pistol_fullauto,steadyaim,500,
5,10500,pistol_fullauto,damage,600,
6,13800,pistol_fullauto,fmj,700,
7,17400,pistol_fullauto,fastreload,800,
8,21100,pistol_fullauto,extclip,900,
9,24900,pistol_fullauto,extbarrel,1000,
10,28800,pistol_fullauto,dw,1100,
0,300,pistol_shotgun,reflex,100,
1,1200,pistol_shotgun,quickdraw,200,
2,2700,pistol_shotgun,suppressed,300,
3,4800,pistol_shotgun,reddot,400,
4,7500,pistol_shotgun,steadyaim,500,
5,17400,pistol_shotgun,fastreload,600,
6,24900,pistol_shotgun,extbarrel,700,
7,28800,pistol_shotgun,dw,800,
0,300,pistol_energy,reflex,100,
1,1200,pistol_energy,quickdraw,200,
2,2700,pistol_energy,suppressed,300,
3,4800,pistol_energy,reddot,400,
4,7500,pistol_energy,steadyaim,500,
5,17400,pistol_energy,fastreload,600,
6,21100,pistol_energy,extclip,700,
0,300,pistol_m1911,reflex,100,
1,1200,pistol_m1911,quickdraw,200,
2,2700,pistol_m1911,suppressed,300,
3,4800,pistol_m1911,reddot,400,
4,7500,pistol_m1911,steadyaim,500,
5,10500,pistol_m1911,damage,600,
6,13800,pistol_m1911,fmj,700,
7,17400,pistol_m1911,fastreload,800,
8,21100,pistol_m1911,extclip,900,
9,24900,pistol_m1911,extbarrel,1000,
10,28800,pistol_m1911,dw,1100,
0,300,smg_burst,reflex,100,
1,1200,smg_burst,quickdraw,200,
2,2700,smg_burst,suppressed,300,
3,4800,smg_burst,acog,400,
4,7500,smg_burst,grip,500,
5,10500,smg_burst,stalker,600,
6,13800,smg_burst,dualoptic,700,
7,17400,smg_burst,steadyaim,800,
8,21100,smg_burst,holo,900,
9,24900,smg_burst,fmj,1000,
10,28800,smg_burst,fastreload,1100,
11,32800,smg_burst,reddot,1200,
12,36900,smg_burst,extbarrel,1300,
13,41100,smg_burst,extclip,1400,
14,45400,smg_burst,rf,1500,
0,300,smg_capacity,reflex,100,
1,1200,smg_capacity,quickdraw,200,
2,2700,smg_capacity,suppressed,300,
3,4800,smg_capacity,acog,400,
4,7500,smg_capacity,grip,500,
5,10500,smg_capacity,stalker,600,
6,13800,smg_capacity,dualoptic,700,
7,17400,smg_capacity,steadyaim,800,
8,21100,smg_capacity,holo,900,
9,24900,smg_capacity,fmj,1000,
10,28800,smg_capacity,fastreload,1100,
11,32800,smg_capacity,reddot,1200,
12,36900,smg_capacity,extbarrel,1300,
13,41100,smg_capacity,extclip,1400,
14,45400,smg_capacity,rf,1500,
0,300,smg_fastfire,reflex,100,
1,1200,smg_fastfire,quickdraw,200,
2,2700,smg_fastfire,suppressed,300,
3,4800,smg_fastfire,acog,400,
4,7500,smg_fastfire,grip,500,
5,10500,smg_fastfire,stalker,600,
6,13800,smg_fastfire,dualoptic,700,
7,17400,smg_fastfire,steadyaim,800,
8,21100,smg_fastfire,holo,900,
9,24900,smg_fastfire,fmj,1000,
10,28800,smg_fastfire,fastreload,1100,
11,32800,smg_fastfire,reddot,1200,
12,36900,smg_fastfire,extbarrel,1300,
13,41100,smg_fastfire,extclip,1400,
14,45400,smg_fastfire,rf,1500,
0,300,smg_longrange,reflex,100,
1,1200,smg_longrange,quickdraw,200,
2,2700,smg_longrange,suppressed,300,
3,4800,smg_longrange,acog,400,
4,7500,smg_longrange,grip,500,
5,10500,smg_longrange,stalker,600,
6,13800,smg_longrange,dualoptic,700,
7,17400,smg_longrange,steadyaim,800,
8,21100,smg_longrange,holo,900,
9,24900,smg_longrange,fmj,1000,
10,28800,smg_longrange,fastreload,1100,
11,32800,smg_longrange,reddot,1200,
12,36900,smg_longrange,extbarrel,1300,
13,41100,smg_longrange,extclip,1400,
14,45400,smg_longrange,rf,1500,
0,300,smg_standard,reflex,100,
1,1200,smg_standard,quickdraw,200,
2,2700,smg_standard,suppressed,300,
3,4800,smg_standard,acog,400,
4,7500,smg_standard,grip,500,
5,10500,smg_standard,stalker,600,
6,13800,smg_standard,dualoptic,700,
7,17400,smg_standard,steadyaim,800,
8,21100,smg_standard,holo,900,
9,24900,smg_standard,fmj,1000,
10,28800,smg_standard,fastreload,1100,
11,32800,smg_standard,reddot,1200,
12,36900,smg_standard,extbarrel,1300,
13,41100,smg_standard,extclip,1400,
14,45400,smg_standard,rf,1500,
0,300,smg_versatile,reflex,100,
1,1200,smg_versatile,quickdraw,200,
2,2700,smg_versatile,suppressed,300,
3,4800,smg_versatile,acog,400,
4,7500,smg_versatile,grip,500,
5,10500,smg_versatile,stalker,600,
6,13800,smg_versatile,dualoptic,700,
7,17400,smg_versatile,steadyaim,800,
8,21100,smg_versatile,holo,900,
9,24900,smg_versatile,fmj,1000,
10,28800,smg_versatile,fastreload,1100,
11,32800,smg_versatile,reddot,1200,
12,36900,smg_versatile,extbarrel,1300,
13,41100,smg_versatile,extclip,1400,
14,45400,smg_versatile,rf,1500,
0,300,smg_mp40,reflex,100,
1,1200,smg_mp40,quickdraw,200,
2,2700,smg_mp40,suppressed,300,
3,4800,smg_mp40,acog,400,
4,7500,smg_mp40,grip,500,
5,10500,smg_mp40,stalker,600,
6,13800,smg_mp40,dualoptic,700,
7,17400,smg_mp40,steadyaim,800,
8,21100,smg_mp40,holo,900,
9,24900,smg_mp40,fmj,1000,
10,28800,smg_mp40,fastreload,1100,
11,32800,smg_mp40,reddot,1200,
12,36900,smg_mp40,extbarrel,1300,
13,41100,smg_mp40,extclip,1400,
14,45400,smg_mp40,rf,1500,
0,300,smg_nailgun,reflex,100,
1,1200,smg_nailgun,quickdraw,200,
2,4800,smg_nailgun,acog,300,
3,7500,smg_nailgun,grip,400,
4,10500,smg_nailgun,stalker,500,
5,13800,smg_nailgun,dualoptic,600,
6,17400,smg_nailgun,steadyaim,700,
7,21100,smg_nailgun,holo,800,
8,28800,smg_nailgun,fastreload,900,
9,32800,smg_nailgun,reddot,1000,
10,41100,smg_nailgun,extclip,1100,
11,45400,smg_nailgun,rf,1200,
0,300,smg_rechamber,reflex,100,
1,1200,smg_rechamber,quickdraw,200,
2,2700,smg_rechamber,suppressed,300,
3,4800,smg_rechamber,acog,400,
4,7500,smg_rechamber,grip,500,
5,10500,smg_rechamber,stalker,600,
6,13800,smg_rechamber,dualoptic,700,
7,17400,smg_rechamber,steadyaim,800,
8,21100,smg_rechamber,holo,900,
9,24900,smg_rechamber,fmj,1000,
10,28800,smg_rechamber,fastreload,1100,
11,32800,smg_rechamber,reddot,1200,
12,36900,smg_rechamber,extbarrel,1300,
13,41100,smg_rechamber,extclip,1400,
14,45400,smg_rechamber,rf,1500,
0,300,smg_ppsh,reflex,100,
1,1200,smg_ppsh,quickdraw,200,
2,2700,smg_ppsh,suppressed,300,
3,4800,smg_ppsh,acog,400,
4,7500,smg_ppsh,grip,500,
5,10500,smg_ppsh,stalker,600,
6,13800,smg_ppsh,dualoptic,700,
7,17400,smg_ppsh,steadyaim,800,
8,21100,smg_ppsh,holo,900,
9,24900,smg_ppsh,fmj,1000,
10,28800,smg_ppsh,fastreload,1100,
11,32800,smg_ppsh,reddot,1200,
12,36900,smg_ppsh,extbarrel,1300,
13,41100,smg_ppsh,extclip,1400,
14,45400,smg_ppsh,rf,1500,
0,300,smg_ak74u,reflex,100,
1,1200,smg_ak74u,quickdraw,200,
2,2700,smg_ak74u,suppressed,300,
3,4800,smg_ak74u,acog,400,
4,7500,smg_ak74u,grip,500,
5,10500,smg_ak74u,stalker,600,
6,13800,smg_ak74u,dualoptic,700,
7,17400,smg_ak74u,steadyaim,800,
8,21100,smg_ak74u,holo,900,
9,24900,smg_ak74u,fmj,1000,
10,28800,smg_ak74u,fastreload,1100,
11,32800,smg_ak74u,reddot,1200,
12,36900,smg_ak74u,extbarrel,1300,
13,41100,smg_ak74u,extclip,1400,
14,45400,smg_ak74u,rf,1500,
0,300,smg_msmc,reflex,100,
1,1200,smg_msmc,quickdraw,200,
2,2700,smg_msmc,suppressed,300,
3,4800,smg_msmc,acog,400,
4,7500,smg_msmc,grip,500,
5,10500,smg_msmc,stalker,600,
6,13800,smg_msmc,dualoptic,700,
7,17400,smg_msmc,steadyaim,800,
8,21100,smg_msmc,holo,900,
9,24900,smg_msmc,fmj,1000,
10,28800,smg_msmc,fastreload,1100,
11,32800,smg_msmc,reddot,1200,
12,36900,smg_msmc,extbarrel,1300,
13,41100,smg_msmc,extclip,1400,
14,45400,smg_msmc,rf,1500,
0,300,smg_sten2,reflex,100,
1,1200,smg_sten2,quickdraw,200,
2,2700,smg_sten2,suppressed,300,
3,4800,smg_sten2,acog,400,
4,7500,smg_sten2,grip,500,
5,10500,smg_sten2,stalker,600,
6,13800,smg_sten2,dualoptic,700,
